case_id,condition_id,stage,range_class,Jd_limit_A2,Jq_limit_A2,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mode_change_L1_vs_default,average_switching_frequency_Hz,total_switching_actions
B_C01_008,C01,focused_scan,reasonable_extension_range,0.16,0.4,0.424887169568021,0.575112830431979,0,0.875542534344972,0.189555125725339,5368.5794111326,2498
B_C01_009,C01,focused_scan,reasonable_extension_range,0.26,0.1,0.329464861379755,0.670535138620245,0,0.865904454718294,0.00257898130238549,5966.04341285192,2776
B_C01_010,C01,focused_scan,reasonable_extension_range,0.26,0.16,0.30174081237911,0.69825918762089,0,0.860336921817029,0.0580270793036755,5918.76208897485,2754
B_C01_011,C01,focused_scan,reasonable_extension_range,0.26,0.4,0.430045132172792,0.569954867827208,0,0.868638881782928,0.199871050934881,4973.13561143348,2314
B_C01_012,C01,focused_scan,reasonable_extension_range,0.5,0.82,0.524822695035461,0.475177304964539,0,0.869969231091177,0.389426176660219,4173.65140769396,1942
B_C01_013,C01,focused_scan,reasonable_extension_range,0.5,1,0.53384912959381,0.46615087040619,0,0.870480263638811,0.407479045776917,4027.50913389211,1874
B_C01_014,C01,focused_scan,reasonable_extension_range,0.64,0.82,0.54287556415216,0.45712443584784,0,0.868096159866451,0.425531914893617,4023.21083172147,1872
B_C01_015,C01,focused_scan,reasonable_extension_range,0.82,0.82,0.578981302385558,0.421018697614442,0,0.86787963194824,0.497743391360413,3713.7330754352,1728
B_C01_016,C01,focused_scan,reasonable_extension_range,0.82,1,0.620889748549323,0.379110251450677,0,0.874807298433854,0.581560283687943,3378.46550612508,1572
B_C01_017,C01,focused_scan,reasonable_extension_range,1,0.82,0.604126370083817,0.395873629916183,0,0.871371866980586,0.548033526756931,3584.78401031592,1668
B_C02_001,C02,focused_scan,engineering_nominal_range,0.01,0.01125,0.000644745325596389,0.325596389426177,0.673758865248227,0.839678927119848,1.33333333333333,12202.8798624543,5678
B_C02_002,C02,focused_scan,engineering_nominal_range,0.025,0,0.000644745325596389,0.327530625402966,0.671824629271438,0.839625706104202,1.32946486137975,12189.9849559424,5672
B_C02_003,C02,focused_scan,engineering_nominal_range,0.025,0.01125,0.000644745325596389,0.449387491940683,0.54996776273372,0.839936835925864,1.08575112830432,11777.3479475607,5480
B_C02_004,C02,focused_scan,engineering_nominal_range,0.1,0.1,0.000644745325596389,0.99290780141844,0.00644745325596389,0.838757379581963,0.404900064474533,9383.19363851279,4366
B_C02_005,C02,focused_scan,engineering_nominal_range,0.1,0.16,0.168278529980658,0.792392005157963,0.0393294648613798,0.837872391635615,0.0683430045132175,7844.40146142274,3650
B_C02_006,C02,focused_scan,engineering_nominal_range,0.1,0.4,0.166344294003868,0.820760799484204,0.0128949065119278,0.838913532259821,0.0722114764667965,7711.15409413282,3588
B_C02_007,C02,focused_scan,engineering_nominal_range,0.16,0.1,0.000644745325596389,0.996131528046422,0.00322372662798195,0.839000665527322,0.411347517730497,9408.98345153664,4378
B_C02_008,C02,focused_scan,engineering_nominal_range,0.16,0.4,0.192134107027724,0.806576402321083,0.00128949065119278,0.837286104978313,0.0322372662798194,7307.11369009241,3400
B_C02_009,C02,focused_scan,engineering_nominal_range,0.26,0.1,0.000644745325596389,0.998065764023211,0.00128949065119278,0.838779228743848,0.415215989684075,9340.21061680636,4346
B_C02_010,C02,focused_scan,engineering_nominal_range,0.26,0.16,0.315925209542231,0.683430045132173,0.000644745325596389,0.838501737972029,0.226950354609929,6404.47023425747,2980
B_C02_011,C02,focused_scan,engineering_nominal_range,0.26,0.4,0.277240490006447,0.722114764667956,0.000644745325596389,0.831508985124146,0.149580915538362,6292.71437782076,2928
B_C02_012,C02,focused_scan,engineering_nominal_range,0.82,0.4,0.39651837524178,0.603481624758221,0,0.83437655231076,0.388136686009026,5510.42338276381,2564
B_C02_013,C02,focused_scan,engineering_nominal_range,0.82,0.64,0.488072211476467,0.511927788523533,0,0.831011286784277,0.571244358478401,4564.79690522244,2124
B_C02_014,C02,focused_scan,engineering_nominal_range,0.82,0.82,0.480980012894906,0.519019987105093,0,0.829569778824299,0.55705996131528,4530.4104878573,2108
B_C02_015,C02,focused_scan,engineering_nominal_range,0.82,1,0.540296582849774,0.459703417150226,0,0.840278395982977,0.675693101225015,4259.61745110681,1982
B_C02_016,C02,focused_scan,engineering_nominal_range,1,0.4,0.4107027724049,0.5892972275951,0,0.83845911978752,0.416505480335267,5510.42338276381,2564
B_C02_017,C02,focused_scan,engineering_nominal_range,1,0.82,0.52675693101225,0.47324306898775,0,0.835535133916233,0.648613797549967,4294.00386847195,1998
B_C03_001,C03,focused_scan,reasonable_extension_range,0.01,0.01125,0.00124843945068664,0.188514357053683,0.81023720349563,0.755578835663617,1.5605493133583,12642.5301706201,3038
B_C03_002,C03,focused_scan,reasonable_extension_range,0.025,0,0.00124843945068664,0.242197253433208,0.756554307116105,0.755709149295715,1.45318352059925,12451.1027881814,2992
B_C03_003,C03,focused_scan,reasonable_extension_range,0.025,0.01125,0.00124843945068664,0.284644194756554,0.714107365792759,0.755898922062621,1.36828963795256,12309.6129837703,2958
B_C03_004,C03,focused_scan,reasonable_extension_range,0.1,0.1,0.00124843945068664,0.870162297128589,0.128589263420724,0.756840702362739,0.19725343320849,10295.4640033292,2474
B_C03_005,C03,focused_scan,reasonable_extension_range,0.1,0.16,0.00124843945068664,0.912609238451935,0.0861423220973783,0.755707567948951,0.112359550561798,9762.79650436954,2346
B_C03_006,C03,focused_scan,reasonable_extension_range,0.1,0.4,0.359550561797753,0.392009987515606,0.248439450686642,0.757293957284613,1.15355805243446,7007.90678318768,1684
B_C03_007,C03,focused_scan,reasonable_extension_range,0.1,0.82,0.207240948813983,0.711610486891386,0.0811485642946317,0.758173632048202,0.514357053682897,7898.46025801082,1898
B_C03_008,C03,focused_scan,reasonable_extension_range,0.1,1,0.187265917602996,0.755305867665418,0.0574282147315855,0.758257659305032,0.426966292134831,7923.42904702455,1904
B_C03_009,C03,focused_scan,reasonable_extension_range,0.16,0.1,0.00124843945068664,0.978776529338327,0.0199750312109863,0.756483997624895,0.0199750312109861,9662.92134831461,2322
B_C03_010,C03,focused_scan,reasonable_extension_range,0.16,0.4,0.240948813982522,0.675405742821473,0.083645443196005,0.758041429277689,0.586766541822722,7607.15771951727,1828
B_C03_011,C03,focused_scan,reasonable_extension_range,0.16,0.82,0.187265917602996,0.784019975031211,0.0287141073657928,0.757257207768886,0.372034956304619,7890.13732833958,1896
B_C03_012,C03,focused_scan,reasonable_extension_range,0.26,0.1,0.00124843945068664,0.98876404494382,0.00998751560549313,0.754511788195071,0.0399500624219723,9446.52517686225,2270
